,Drug_Name,Reason,Description
274,NEUTIN Capsule 10's,Acne,Mild to moderate acne (spots)
275,Nexret 0.10% Gel 15gmNexret 0.04% Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
276,Nilac Gel 20gmNilac A Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
277,Nioclean Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
278,Nioclean AD Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
279,Nioret Nano Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
280,NO Scars 1% Facewash 60ml,Acne,treat the most severe form of acne (nodular acne) 
281,NUPLENE C Gel 15gm,Acne, treat acne vulgaris 
282,OBRIL Cream 20gm,Acne, treat acne vulgaris 
283,Ocotret 10mg Tablet 10'SOcotret 20mg Tablet 10'S,Acne, treat mild to moderate acne(spots)
284,Oraret 10mg Capsule 10'SOraret 20mg Capsule 10'S,Acne,treatment of dry scaly skin disorders of the scalp
285,Oxidoben Gel(Topical) 15gm,Acne,Mild to moderate acne (spots)
286,Oxtiv AP Gel(Topical) 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
287,Paknet C Gel(Topical) 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
288,Papulex Cream 15gmPapulex Cleansing Gel 100ml,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
289,Percuna 2.5% Gel 20gmPercuna 5% Gel 20gm,Acne,treat the most severe form of acne (nodular acne) 
290,Pernex AC 2.5% Gel 20gmPernex AC 5% Gel 50gmPernex AC 5% Gel 20gm,Acne,treat the most severe form of acne (nodular acne) 
291,Perobar 5% Bar 75gmPerobar 2.5% Bar 75gm,Acne,treat the most severe form of acne (nodular acne) 
292,Peroclin 5% Gel 15gmPeroclin 2.5% Gel 15gm,Acne, treat acne vulgaris 
293,Peroduo Gel 15gm,Acne, treat acne vulgaris 
294,Perowas 2.5% Face Wash 50gm,Acne, treat mild to moderate acne(spots)
295,Perowash 2.50% Facewash 50gm,Acne,treatment of dry scaly skin disorders of the scalp
296,Persol Forte Cream 20gmPersol AC 5mg Gel 20gmPersol Forte Cream 30gmPersol 2.5% Soap 75gmPersol 2.5% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
297,Persol AC 2.5% Gel 30gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
298,Persol AC 5 Gel 30gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
299,Persol Plus Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
300,Pigmason Cream 20gm,Acne,Mild to moderate acne (spots)
301,Pimoff 1% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
302,Pimple Cure Cream 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
303,Pinoin 10mg Capsule 10'SPinoin 5mg Tablet 10'SPinoin 0.05% Cream 20gmPinoin 20mg Capsule 10'SPinoin 0.025% Cream 20gmPinoin 5mg Capsule 10'S,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
304,Postac Cream 30gm,Acne,treat the most severe form of acne (nodular acne) 
305,Purodil Tablet 30'SPurodil Gel 20gm,Acne,treat the most severe form of acne (nodular acne) 
306,Refinity 70% Kit 1'S,Acne,treat the most severe form of acne (nodular acne) 
307,Resoten 10mg Capsule 10'SResoten 20mg Capsule 10'S,Acne, treat acne vulgaris 
308,Retik Cream 30gm,Acne, treat acne vulgaris 
309,Retino A Micro 0.04% Gel 15gmRetino A Micro Cream 15gm,Acne, treat mild to moderate acne(spots)
310,Retino A 0.025% Cream 20gmRetino A 0.05% Cream 20gm,Acne,treatment of dry scaly skin disorders of the scalp
311,Retino A Micro 0.1% Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
312,Retino AC Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
313,Retiso 10mg Capsule 10'SRetiso 20mg Capsule 10'S,Acne,Mild to moderate acne (spots)
314,Revize 0.02% Creams 20gmRevize Cream 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
315,Revize Micro 0.04% Gel 20gmRevize Micro 0.025% Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
316,Saferet 10mg Capsule 10'SSaferet 5mg Tablet 30'SSaferet 5mg Capsule 10'SSaferet 20mg Capsule 10'SSaferet 20mg Tablet 30'SSaferet 10mg Tablet 30'S,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
317,Salalin Lotion 15ml,Acne,treat the most severe form of acne (nodular acne) 
318,Saliac Bar 75gm,Acne,treat the most severe form of acne (nodular acne) 
319,Salicylix SF 12% Cream 30gmSalicylix SF 6% Cream 30gm,Acne,treat the most severe form of acne (nodular acne) 
320,Salisia KT Soap 75gmSALISIA 30gm Tablet 15's,Acne, treat acne vulgaris 
321,Salix 12 Cream 40gm,Acne, treat acne vulgaris 
322,Saslic Capsule 10'S,Acne, treat mild to moderate acne(spots)
323,Screene Ultra Lotion 100ml,Acne,treatment of dry scaly skin disorders of the scalp
324,Sebonac 1% Gel(Topical) 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
325,Senseal KF Gel 100gm,Acne,treatment of dry scaly skin disorders of the scalp
326,Shadowz Gel 100ml,Acne,Mild to moderate acne (spots)
327,Shaloxy FW 2% Solution 50ml,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
328,Skin Fair Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
329,Skinbless Cream 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
330,Skinelle Capsule 20'S,Acne,treat the most severe form of acne (nodular acne) 
331,Skinlite Ever Nano Gel 20gm,Acne,treat the most severe form of acne (nodular acne) 
332,Skinshine Soap 75gm,Acne,treat the most severe form of acne (nodular acne) 
333,SLC 2% Facewash 50gm,Acne, treat acne vulgaris 
334,Soapex Classic Soap 75gm,Acne, treat acne vulgaris 
335,Sotret 10mg Capsule 10'SSotret Gel 30gmSotret 40mg Capsule 10'SSotret 20mg Capsule 10'SSotret 30mg Capsule 10'SSotret Soap 75gmSotret 5mg Capsule 10'SSotret 0.05% Gel 15gm,Acne, treat mild to moderate acne(spots)
336,Spectraban Lotion 100mlSpectraban Lotion 60ml,Acne,treatment of dry scaly skin disorders of the scalp
337,Sucral MU Ointment 5gm,Acne,combined with anti-acne actives of both natural and synthetic origin
338,Suncros Gel 50gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
339,Sunprotect 50mg Lotion 60ml,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
340,Sunstop 30 Cream 50gm,Acne,treatment of dry scaly skin disorders of the scalp
341,Supatret 0.04% Aqueous Gel 20gmSupatret 0.10% Gel 20gm,Acne,Mild to moderate acne (spots)
342,Supatret C M Gel 15gmSupatret C Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
343,Super Glow Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
344,Sysret 20mg Capsule 10'S,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
345,T M 250mg Capsule 4'S,Acne,treat the most severe form of acne (nodular acne) 
346,Tabtret 5mg Tablet 10'STabtret 10mg Tablet 10'S,Acne,treat the most severe form of acne (nodular acne) 
347,Tarsalic Oinment 20gmTarsalic Lotion 60ml,Acne,treat the most severe form of acne (nodular acne) 
348,Tazotene 0.10% Gel 15gmTazotene 0.05% Gel 15gm,Acne, treat acne vulgaris 
349,Tazret Gel(Topical) 20gmTazret Gel 15gm,Acne, treat acne vulgaris 
350,Tazret Forte Cream 20gmTazret Forte Cream 15gm,Acne, treat mild to moderate acne(spots)
351,Terramycin 30mg Injection 30mlTerramycin 50mg Injection 10mlTerramycin 10mg Eye Ointment 3GmTerramycin Injection 10ml,Acne,treatment of dry scaly skin disorders of the scalp
352,Terramycin S F 500mg Capsule 8'S,Acne,combined with anti-acne actives of both natural and synthetic origin
353,Tetilin 20mg Capsule 10'STetilin 10mg Capsule 10'S,Acne,treatment of dry scaly skin disorders of the scalp
354,Ticin Cream 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
355,Ticin Plus Gel 20gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
356,Tigilyn 50mg Injection 1'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
357,Tivenca Gel 50gm,Acne,Mild to moderate acne (spots)
358,Tocoderm Cream 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
359,Trebor 0.05% Cream 20gmTrebor Cream 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
360,Tretimax 20mg Tablet 10'S,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
361,Tretin 0.05% Cream 30gmTretin 0.025% Cream 30gm,Acne,treat the most severe form of acne (nodular acne) 
362,Tretin Iso 20mg Capsule 10'STretin Iso 10mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne) 
363,Tretiva 25mg Capsule 10'STretiva 5mg Capsule 10'STretiva 10mg Capsule 10'STretiva 40mg Capsule 10'STretiva 30mg Capsule 10'STretiva 20mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne) 
364,Triclin Cream 15gm,Acne, treat acne vulgaris 
365,TRI Luma Cream 15gm,Acne, treat acne vulgaris 
366,Trioclin Gel 15gm,Acne, treat mild to moderate acne(spots)
367,Tronin 0.05% Cream 20gm,Acne,treatment of dry scaly skin disorders of the scalp
368,Tronin MS Gel 20gm,Acne,Mild to moderate acne (spots)
369,Trunex Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
370,Trunex MS Aqueous Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
371,Tufacne 10mg Capsule 10'STufacne 20mg Capsule 10'S,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
372,Tyret O 10Mg Capsule 10's,Acne,treat the most severe form of acne (nodular acne) 
373,U B Fair Cream 30gm,Acne,treat the most severe form of acne (nodular acne) 
374,U.V. Derm Lotion 100ml,Acne,treat the most severe form of acne (nodular acne) 
375,Ultrabrite Cream 25gmUltrabrite Ointment 15gm,Acne, treat acne vulgaris 
376,Usit Gel 30gm,Acne, treat acne vulgaris 
377,Uvab SF Cream 30gm,Acne, treat mild to moderate acne(spots)
378,Varenya Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp
379,Vedasol 20% Gel 30gmVedasol 30% Gel 60gmVedasol 20% Gel 60gm,Acne,combined with anti-acne actives of both natural and synthetic origin
380,Vedasol SM Gel 30gmVedasol SM Gel 60gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
381,Whitfield SF 3% Ointment 30gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
382,Xtralite Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
383,Xyloxide 2.5% Ointment 15gmXyloxide 5% Ointment 15gm,Acne,Mild to moderate acne (spots)
384,Yugard Cream 30gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
385,Zathrin 0.1/1% Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
386,Zebor Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
387,Zerocary 0.30% Oral Solution 100ml,Acne,treat the most severe form of acne (nodular acne) 
388,Zinderm Bpo Gel Gel(Topical) 15gm,Acne,treat the most severe form of acne (nodular acne) 
389,Zinderm Iso 10mg Capsule 10'SZinderm Iso 20mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne) 
390,ZIT 20mg Capsule 10'sZIT 10mg Capsule 10's,Acne, treat acne vulgaris 
391,Zitblow 20mg Capsule 10'SZitblow 10mg Capsule 10'S,Acne, treat acne vulgaris 
392,Zitclin Foam Wash Gel 100ml,Acne, treat mild to moderate acne(spots)
393,Zyclin Nano Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
394,Addnok Tablet 20'S,Adhd,combined with anti-acne actives of both natural and synthetic origin
395,Armod 150mg Tablet 10'SArmod 50mg Tablet 10'S,Adhd,treatment of dry scaly skin disorders of the scalp
396,Atokem 25mg Tablet 10'SAtokem 10mg Tablet 10'SAtokem 18mg Tablet 10'S,Adhd,Mild to moderate acne (spots)
397,Atrest 12.5mg Tablet 10'SAtrest 25mg Tablet 10'S,Adhd,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
398,Attentin 10mg Capsule 10'SAttentin 18mg Capsule 10'SAttentin 25mg Capsule 10'S,Adhd,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
399,Attentrol 10mg Capsule 10'SAttentrol 25mg Capsule 10'SAttentrol 40 mg Capsule 10'SAttentrol 18mg Capsule 10'S,Adhd,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
400,Attera 10mg Tablet 10'SAttera 18mg Tablet 10'SAttera 40mg Tablet 10'SAttera 25mg Tablet 10'S,Adhd,treat the most severe form of acne (nodular acne) 
401,Axepta 18mg Tablet 10'SAxepta 60mg Tablet 10'SAxepta 40mg Tablet 10'SAxepta 25mg Tablet 10'SAxepta 10mg Tablet 10'S,Adhd,treat the most severe form of acne (nodular acne) 
402,Capnea Injection 1ml,Adhd,treat the most severe form of acne (nodular acne) 
403,Modafil MD 100mg Tablet 10'SModafil MD 200mg Tablet 10'S,Adhd, treat acne vulgaris 
404,Modalert 200mg Tablet 10'SModalert 100mg Tablet 10'S,Adhd, treat acne vulgaris 
405,Modapro 100mg Tablet 10'SModapro 200mg Tablet 10'S,Adhd, treat mild to moderate acne(spots)
406,Modatec 100mg Tablet 10'SModatec 200mg Tablet 10'S,Adhd,treatment of dry scaly skin disorders of the scalp
407,Provake 100mg Tablet 10'SProvake 200mg Tablet 10'S,Adhd,combined with anti-acne actives of both natural and synthetic origin
408,Tomoxetin 18mg Capsule 10'S,Adhd,treatment of dry scaly skin disorders of the scalp
409,Vitibex Lip Gel 20gm,Adhd,Mild to moderate acne (spots)
410,Waklert 150mg Tablet 5'SWaklert 150mg Tablet 10'SWaklert 250mg Tablet 5'SWaklert 50mg Tablet 10'SWaklert 100mg Tablet 10,Adhd,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
411,1 AL Plus Capsule 10'S1 AL 10mg Tablet 15'S1 AL 5mg Tablet 10'S1 AL Max Tablet 10'S1 AL Syrup 30ml,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
412,1 AL M 10/5mg Tablet 10'S,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
413,ABICET M Tablet 10's,Allergies,treat the most severe form of acne (nodular acne) 
414,Acolate M Kid Syrup 60ml,Allergies,treat the most severe form of acne (nodular acne) 
415,Adril Lotion 100ml,Allergies,treat the most severe form of acne (nodular acne) 
416,Afineday Tablet 10'S,Allergies, treat acne vulgaris 
417,AIR 180mg Tablet 10'sAIR 120mg Tablet 10's,Allergies, treat acne vulgaris 
418,Airitis 5mg Tablet 10'SAiritis Syrup 30ml,Allergies, treat mild to moderate acne(spots)
419,Airkast L Tablet 10'S,Allergies,treatment of dry scaly skin disorders of the scalp
